address,postal_code,offered_since,asking-price,surface,energy_label,housing_type,build_year,number_rooms,number_bathrooms,bathroom_facilities,total_floors,isolation,heating,warm_water,cv_ketel,land_ownership,erfpacht,location,balcony_terrace,parking,garden,inhabitants_neighborhood,families_with_kids_perc,neighborhood_price_sqm
Bos en Lommerplantsoen 109 - L,1055 AA Amsterdam,12 september 2022,€ 225.000 kosten koper,31 m²,B,Tussenverdieping (appartement),1960,1 kamer (1 slaapkamer),1 badkamer,Toilet,1 woonlaag,Volledig geïsoleerd,Stadsverwarming en gedeeltelijke vloerverwarming,Stadsverwarming,,Gemeentelijk eigendom belast met erfpacht (einddatum erfpacht: 30-11-2063),€ 737 per jaar,"In woonwijk, open ligging en vrij uitzicht",,Betaald parkeren en parkeervergunningen,,,,
Weesperzijde 23 II,1091 EC Amsterdam,13 september 2022,€ 895.000 kosten koper,100 m²,,Bovenwoning (appartement),1885,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Ligbad,1 woonlaag,Gedeeltelijk dubbel glas en vloerisolatie,Cv-ketel,Cv-ketel,"Gas gestookt combiketel, eigendom",Volle eigendom,,"Aan vaarwater, in centrum, in woonwijk, open ligging en vrij uitzicht",,Betaald parkeren en parkeervergunningen,Zonneterras,,,
Van Baerlestraat 91 4,1071 AT Amsterdam,12 september 2022,€ 589.000 kosten koper,75 m²,F,Bovenwoning (appartement),1912,3 kamers (2 slaapkamers),1 badkamer,Douche en toilet,1 woonlaag,Dubbel glas,Cv-ketel,Cv-ketel,"Intergas (gas gestookt combiketel uit 2012, eigendom)",Gemeentelijk eigendom belast met erfpacht,Afgekocht tot 30-11-2034,,,Betaald parkeren,,,,
Orteliusstraat 285 -3,1056 NV Amsterdam,13 september 2022,€ 550.000 kosten koper,69 m²,D,Bovenwoning (appartement),1927,3 kamers (2 slaapkamers),1 badkamer,Toilet,2 woonlagen,Dubbel glas,Cv-ketel,Cv-ketel,"Intergas (gas gestookt combiketel uit 2018, eigendom)",Volle eigendom,,Aan rustige weg en in woonwijk,Dakterras aanwezig en balkon aanwezig,Parkeervergunningen,,,,
Kazernestraat 18 1&2,1018 CD Amsterdam,9 september 2022,€ 1.100.000 kosten koper,124 m²,C,Tussenverdieping (appartement),1886,5 kamers (4 slaapkamers),2 badkamers,Ligbad en toilet,2 woonlagen,Dubbel glas,Cv-ketel en gedeeltelijke vloerverwarming,Cv-ketel,"HR-107 Remeha (gas gestookt combiketel uit 2015, eigendom)",Volle eigendom,,"Aan rustige weg, in centrum, in woonwijk en vrij uitzicht",Balkon aanwezig en frans balkon aanwezig,Betaald parkeren en parkeervergunningen,,,,
Prinsengracht 203 G,1015 DT Amsterdam,9 september 2022,€ 795.000 kosten koper,100 m²,,Bovenwoning (appartement),Voor 1906,3 kamers (2 slaapkamers),,,1 woonlaag,Gedeeltelijk dubbel glas,Cv-ketel,Cv-ketel,"Vaillant (gas gestookt combiketel uit 2005, eigendom)",Volle eigendom,,In centrum,,"Betaald parkeren, openbaar parkeren en parkeervergunningen",,,,
Hondecoeterstraat 8 2,1071 LR Amsterdam,11 september 2022,€ 1.149.000 kosten koper,140 m²,,Bovenwoning (appartement),1920,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,Ligbad en douche,1 woonlaag,Dubbel glas,Cv-ketel en gedeeltelijke vloerverwarming,Cv-ketel,"Gas gestookt combiketel, eigendom",Gemeentelijk eigendom belast met erfpacht (einddatum erfpacht: 30-04-2041),"€ 484,38 per jaar","Aan rustige weg, beschutte ligging, in centrum, in woonwijk en vrij uitzicht",Balkon aanwezig,"Betaald parkeren, openbaar parkeren en parkeervergunningen",,,,
Stadionweg 61 IV,1077 SC Amsterdam,9 september 2022,€ 925.000 kosten koper,125 m²,D,Bovenwoning (appartement),1932,5 kamers (3 slaapkamers),2 badkamers en 1 apart toilet,Ligbad en toilet,2 woonlagen,,Blokverwarming,Centrale voorziening,,Gemeentelijk eigendom belast met erfpacht (einddatum erfpacht: 30-09-2055),Afgekocht tot 30-09-2055,"Aan drukke weg, in woonwijk en vrij uitzicht",Dakterras aanwezig,"Betaald parkeren, openbaar parkeren en parkeervergunningen",,,,
Burgemeester Hogguerstraat 471,1064 CT Amsterdam,8 september 2022,€ 299.000 kosten koper,44 m²,D,Galerijflat (appartement),1965,2 kamers (1 slaapkamer),1 badkamer,Douche en toilet,1 woonlaag,Dubbel glas,Blokverwarming en stadsverwarming,Centrale voorziening,,Gemeentelijke erfpacht (einddatum erfpacht: 31-12-2035),€ 49 per jaar,"Aan water, beschutte ligging, in woonwijk en vrij uitzicht",Balkon aanwezig,"Betaald parkeren, openbaar parkeren en parkeervergunningen",,,,
Winkler Prinshof 13 1,1065 XM Amsterdam,10 september 2022,€ 315.000 kosten koper,60 m²,D,Portiekflat,1956,3 kamers (2 slaapkamers),1 badkamer,Douche,1 woonlaag,Dubbel glas,Cv-ketel,Cv-ketel,"HR Intergas Combi (gas gestookt combiketel uit 2017, eigendom)",Gemeentelijke erfpacht (einddatum erfpacht: 01-04-2056),,"Aan park, aan rustige weg, in woonwijk, open ligging en vrij uitzicht",Balkon aanwezig,Betaald parkeren en openbaar parkeren,,,,
Robert Fruinlaan 18 I,1065 XW Amsterdam,8 september 2022,€ 350.000 kosten koper,69 m²,,Bovenwoning (appartement),,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,Dubbel glas,Cv-ketel,Cv-ketel,"Intergas (gas gestookt combiketel uit 2009, eigendom)",Gemeentelijk eigendom belast met erfpacht,Eeuwigdurend afgekocht,"Aan rustige weg, beschutte ligging en in woonwijk",Balkon aanwezig,"Betaald parkeren, openbaar parkeren en parkeervergunningen",,,,
Nassaukade 303 -H,1053 LN Amsterdam,8 september 2022,€ 995.000 kosten koper,117 m²,A,Benedenwoning (appartement),Voor 1906,4 kamers (2 slaapkamers),1 badkamer en 2 aparte toiletten,Ligbad,2 woonlagen,Dubbel glas,Gehele vloerverwarming,Cv-ketel,,Volle eigendom,,In centrum en in woonwijk,,"Betaald parkeren, openbaar parkeren en parkeervergunningen",Achtertuin,,,
Leo Smitstraat 25,1082 MP Amsterdam,9 september 2022,€ 485.000 kosten koper,51 m²,,Benedenwoning (appartement),2015,2 kamers (1 slaapkamer),1 badkamer,Douche en toilet,1 woonlaag,Volledig geïsoleerd,"Stadsverwarming, gehele vloerverwarming en warmte terugwininstallatie",Centrale voorziening,,Gemeentelijk eigendom belast met erfpacht (einddatum erfpacht: 30-09-2061),€ 1.315 per jaar,"Aan rustige weg, in woonwijk en vrij uitzicht",Balkon aanwezig,Betaald parkeren,Achtertuin,,,
Waldenlaan 89,1093 NH Amsterdam,9 september 2022,€ 685.000 kosten koper,88 m²,A,Bovenwoning (appartement),2014,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Toilet,1 woonlaag,"Dubbel glas, HR-glas en volledig geïsoleerd",Cv-ketel,Cv-ketel,"Intergas (gas gestookt combiketel uit 2013, eigendom)",Erfpacht,Eeuwigdurend afgekocht,,Balkon aanwezig,,,,,
Nageljongenstraat 44,1033 PE Amsterdam,9 september 2022,€ 365.000 kosten koper,72 m²,C,Bovenwoning (appartement),1984,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,,1 woonlaag,Dubbel glas,Cv-ketel,Cv-ketel,"Gas gestookt combiketel, eigendom",Gemeentelijke erfpacht,Afgekocht tot 30-09-2034,Aan rustige weg en in woonwijk,Balkon aanwezig,Openbaar parkeren,,,,
Tweede Hugo de Grootstraat 29 3,1052 LB Amsterdam,13 september 2022,€ 850.000 kosten koper,110 m²,D,Bovenwoning (appartement),Voor 1906,4 kamers (3 slaapkamers),1 badkamer en 2 aparte toiletten,,4 woonlagen,,Cv-ketel,Cv-ketel,"Remeha Avanta (gas gestookt combiketel uit 2016, eigendom)",Gemeentelijke erfpacht,Afgekocht tot 31-07-2072,In centrum en in woonwijk,Dakterras aanwezig en balkon aanwezig,"Betaald parkeren, openbaar parkeren en parkeervergunningen",Zonneterras,,,
Rombout Hogerbeetsstraat 36 2,1052 XE Amsterdam,10 september 2022,€ 400.000 kosten koper,54 m²,E,Bovenwoning (appartement),1932,4 kamers (3 slaapkamers),1 badkamer,Douche en toilet,1 woonlaag,,Cv-ketel,Cv-ketel,"Remeha HR (gas gestookt combiketel uit 2021, eigendom)",Volle eigendom,,Aan rustige weg en in woonwijk,Balkon aanwezig,"Betaald parkeren, openbaar parkeren en parkeervergunningen",,,,
Ottho Heldringstraat 200 -R,1066 AZ Amsterdam,12 september 2022,€ 500.000 kosten koper,103 m²,A+,Beneden + bovenwoning (appartement),2010,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,,6 woonlagen,HR-glas en volledig geïsoleerd,Stadsverwarming,Stadsverwarming,,Gemeentelijk eigendom belast met erfpacht,Eeuwigdurend afgekocht,In centrum en in woonwijk,Balkon aanwezig,Parkeergarage,,,,
IJburglaan 906 +pp,1087 GE Amsterdam,8 september 2022,€ 600.000 kosten koper,100 m²,,Bovenwoning (appartement),,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Toilet,1 woonlaag,Volledig geïsoleerd,Stadsverwarming,Stadsverwarming,,,,"Aan vaarwater, in woonwijk en vrij uitzicht",Balkon aanwezig,Parkeergarage,,,,
Bos en Lommerplantsoen 23 -B,1055 AA Amsterdam,8 september 2022,€ 225.000 kosten koper,30 m²,B,Tussenverdieping (appartement),1960,1 kamer (1 slaapkamer),1 badkamer,Douche en toilet,1 woonlaag,Dubbel glas,Stadsverwarming,Stadsverwarming,,Gemeentelijk eigendom belast met erfpacht (einddatum erfpacht: 31-01-2062),"€ 676,03 per jaar","Aan rustige weg, in woonwijk en vrij uitzicht",,Betaald parkeren,,,,
Pieter Cornelisz. Hooftstraat 190,1071 CH Amsterdam,8 september 2022,€ 1.345.000 kosten koper,98 m²,,Bovenwoning (appartement),1991,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Ligbad en toilet,1 woonlaag,"Dakisolatie, dubbel glas, muurisolatie en vloerisolatie",Cv-ketel,Cv-ketel,"Intergas (gas gestookt combiketel uit 2013, eigendom)",Gemeentelijk eigendom belast met erfpacht (einddatum erfpacht: 15-08-2039),"€ 2.668,68 per jaar","Aan park, aan rustige weg, beschutte ligging, in centrum, in woonwijk en vrij uitzicht",Dakterras aanwezig en balkon aanwezig,"Betaald parkeren, openbaar parkeren en parkeervergunningen",,,,
Lange Leidsedwarsstraat 32 b,1017 NL Amsterdam,9 september 2022,€ 450.000 kosten koper,52 m²,A,Bovenwoning (appartement),1998,2 kamers (1 slaapkamer),1 badkamer en 1 apart toilet,Douche,1 woonlaag,Dubbel glas,Cv-ketel,Cv-ketel,,Volle eigendom,,In centrum,Balkon aanwezig,Betaald parkeren en parkeervergunningen,,,,
Zoutberg 6,1035 KS Amsterdam,7 september 2022,€ 375.000 kosten koper,82 m²,B,Benedenwoning (appartement),1994,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Ligbad en douche,3 woonlagen,Volledig geïsoleerd,Cv-ketel,Cv-ketel,"Gas gestookt combiketel uit 2014, eigendom",Gemeentelijke erfpacht,Afgekocht tot 16-03-2043,Aan rustige weg en in woonwijk,,Openbaar parkeren,Achtertuin,,,
Pieter van der Doesstraat 13 HS,1056 VA Amsterdam,8 september 2022,€ 675.000 kosten koper,86 m²,E,Benedenwoning (appartement),1933,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Ligbad en douche,1 woonlaag,,Cv-ketel,Cv-ketel,"Gas gestookt combiketel, eigendom",Volle eigendom,,"Aan rustige weg, in woonwijk en vrij uitzicht",,"Betaald parkeren, openbaar parkeren en parkeervergunningen",Achtertuin,,,
