address,postal_code,offered_since,asking-price,surface,energy_label,housing_type,build_year,number_rooms,number_bathrooms,bathroom_facilities,total_floors,isolation,heating,warm_water,cv_ketel,land_ownership,erfpacht,location,balcony_terrace,parking,garden,inhabitants_neighborhood,families_with_kids_perc,neighborhood_price_sqm
Leimuidenstraat 31 I,1059 EE Amsterdam,,,90 m²,C,Tussenverdieping (appartement),1930,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Ligbad en toilet,2 woonlagen,"Gedeeltelijk dubbel glas, muurisolatie en vloerisolatie",Cv-ketel,Cv-ketel,"HR (gas gestookt combiketel uit 2018, eigendom)",Volle eigendom,,Aan rustige weg en in woonwijk,Balkon aanwezig,"Betaald parkeren, openbaar parkeren en parkeervergunningen",,,,
Filips van Almondestraat 27 II,1057 ZS Amsterdam,,,52 m²,D,Tussenverdieping (appartement),1925,2 kamers (1 slaapkamer),1 badkamer en 1 apart toilet,,1 woonlaag,Dubbel glas,Cv-ketel,Cv-ketel,"Intergas (gas gestookt uit 2009, eigendom)",Gemeentelijk eigendom belast met erfpacht (einddatum erfpacht: 31-03-2050),"€ 199,9 per jaar",Aan rustige weg en in woonwijk,Balkon aanwezig,Betaald parkeren en parkeervergunningen,,,,
Orteliusstraat 74 1,1057 BE Amsterdam,,,50 m²,C,Bovenwoning (appartement),1935,3 kamers (1 slaapkamer),1 badkamer,Toilet,1 woonlaag,Dubbel glas en gedeeltelijk dubbel glas,Cv-ketel,Cv-ketel,"Intergas (gas gestookt, eigendom)",Gemeentelijke erfpacht,Afgekocht tot 15-06-2058,Aan rustige weg en in woonwijk,Balkon aanwezig,"Betaald parkeren, openbaar parkeren en parkeervergunningen",,,,
G.J. Scheurleerweg 78,1022 KL Amsterdam,,,134 m²,A+,,2014,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,"Ligbad, douche en toilet",3 woonlagen,Volledig geïsoleerd,Cv-ketel en gedeeltelijke vloerverwarming,Cv-ketel,Intergas (gas gestookt combiketel uit 2013),Gemeentelijke erfpacht (einddatum erfpacht: 30-11-2062),"€ 2.469,89 per jaar","Aan rustige weg, beschutte ligging, in woonwijk en vrij uitzicht",,Op eigen terrein,Achtertuin en voortuin,,,
Blankenstraat 280,1018 SJ Amsterdam,,,31 m²,B,Bovenwoning (appartement),1905,2 kamers (1 slaapkamer),1 badkamer en 1 apart toilet,Douche,1 woonlaag,"Dubbel glas, muurisolatie en vloerisolatie",Cv-ketel,Cv-ketel,"Gas gestookt combiketel uit 2016, eigendom",Gemeentelijke erfpacht,Afgekocht tot 28-02-2066,"Aan rustige weg, in centrum, in woonwijk en vrij uitzicht",,"Betaald parkeren, openbaar parkeren en parkeervergunningen",,,,
Orteliusstraat 364 II+III,1056 PV Amsterdam,,,105 m²,C,Bovenwoning (dubbel bovenhuis),1934,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,,2 woonlagen,Dubbel glas,Cv-ketel,Cv-ketel,"HR Vaillant (gas gestookt combiketel uit 2018, eigendom)",Volle eigendom,,Aan rustige weg en in woonwijk,Dakterras aanwezig en balkon aanwezig,"Betaald parkeren, openbaar parkeren en parkeervergunningen",,,,
Nickeriestraat 16 II,1058 VW Amsterdam,,,132 m²,D,Bovenwoning (dubbel bovenhuis),1930,7 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,Ligbad,3 woonlagen,Dubbel glas,Cv-ketel,Cv-ketel,"Intergas (gas gestookt combiketel uit 2018, eigendom)",Volle eigendom,,Aan rustige weg en in woonwijk,Dakterras aanwezig en balkon aanwezig,Betaald parkeren en parkeervergunningen,Zonneterras,,,
Beethovenstraat 127 -I,1077 JA Amsterdam,,,103 m²,D,Bovenwoning (appartement),1956,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,Toilet,1 woonlaag,Dubbel glas en vloerisolatie,Blokverwarming,Elektrische boiler,,Gemeentelijke erfpacht,€ 182 per jaar met optie tot afkopen,"Aan park, aan rustige weg en aan water",Balkon aanwezig,Betaald parkeren en parkeervergunningen,,,,
Stolwijkstraat 19 H*,1059 XS Amsterdam,,,79 m²,A,Benedenwoning (appartement),1929,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Ligbad en toilet,1 woonlaag,Dubbel glas en volledig geïsoleerd,Cv-ketel en gedeeltelijke vloerverwarming,Cv-ketel,"Remeha (gas gestookt, eigendom)",Volle eigendom,,Aan rustige weg en in woonwijk,,Betaald parkeren en parkeervergunningen,Achtertuin,,,
Koninginneweg 172 I,1075 EH Amsterdam,,,75 m²,G,Bovenwoning (appartement),1905,3 kamers (1 slaapkamer),1 badkamer en 1 apart toilet,Douche,1 woonlaag,,Moederhaard,Geiser,,Volle eigendom,,In woonwijk,,"Betaald parkeren, openbaar parkeren en parkeervergunningen",,,,
Recht Boomssloot 99 O,1011 CZ Amsterdam,,,64 m²,C,Benedenwoning (appartement),1906,2 kamers (1 slaapkamer),1 badkamer,Douche en toilet,1 woonlaag,Gedeeltelijk dubbel glas,Cv-ketel,Cv-ketel,"HR (gas gestookt combiketel uit 2021, eigendom)",Volle eigendom,,"Aan vaarwater, aan water en in centrum",,Betaald parkeren en parkeervergunningen,,,,
Barbusselaan 262,1102 VA Amsterdam,,,44 m²,B,Bovenwoning (appartement),1985,2 kamers (1 slaapkamer),1 badkamer,Douche en toilet,1 woonlaag,Dubbel glas,Cv-ketel,Cv-ketel,,Eigendom belast met erfpacht,Eeuwigdurend afgekocht,Aan rustige weg en in woonwijk,,Betaald parkeren en parkeervergunningen,,,,
IJburglaan 664 HS,1087 CE Amsterdam,,,230 m²,A+,,2003,6 kamers (5 slaapkamers),2 badkamers en 3 aparte toiletten,Zitbad,4 woonlagen en een kelder,Dubbel glas en volledig geïsoleerd,Stadsverwarming en gedeeltelijke vloerverwarming,Stadsverwarming,,Gemeentelijk eigendom belast met erfpacht (einddatum erfpacht: 30-06-2051),Afgekocht tot 30-06-2051,"Aan park, aan vaarwater, aan water, in woonwijk en vrij uitzicht",Dakterras aanwezig,,Achtertuin en zonneterras,,,
Willem Molengraaffstraat 19 -I,1063 LK Amsterdam,,,72 m²,E,Bovenwoning (appartement),1955,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,Dubbel glas en vloerisolatie,Cv-ketel,Cv-ketel,"Intergas HR (gas gestookt combiketel uit 2009, eigendom)",Gemeentelijke erfpacht (einddatum erfpacht: 31-08-2060),Afgekocht tot 31-08-2060,In woonwijk en vrij uitzicht,Balkon aanwezig,,,,,
Solitudolaan 410,1096 DS Amsterdam,,,347 m²,A,,2019,9 kamers (5 slaapkamers),3 badkamers en 2 aparte toiletten,"2 ligbaden, douche en toilet",7 woonlagen,Volledig geïsoleerd,"Open haard, gehele vloerverwarming en warmtepomp",Elektrische boiler,,Gemeentelijk eigendom belast met erfpacht,"€ 22.341,79 per jaar","Aan rustige weg, in woonwijk en vrij uitzicht",Dakterras aanwezig en balkon aanwezig,,Achtertuin,,,
Wildenborch 65,1082 KB Amsterdam,,,118 m²,D,Portiekflat (appartement),1968,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Ligbad en douche,3 woonlagen,Driedubbel glas en dubbel glas,Blokverwarming,Centrale voorziening,,,,"Aan park, aan rustige weg, beschutte ligging, in woonwijk en vrij uitzicht",Balkon aanwezig,Openbaar parkeren en parkeervergunningen,,,,
Admiraal De Ruijterweg 80 3,1056 GN Amsterdam,,,73 m²,A,Bovenwoning (appartement),1910,3 kamers (2 slaapkamers),1 apart toilet,,1 woonlaag,Dubbel glas,Cv-ketel,Cv-ketel,"Intergas (gas gestookt combiketel uit 2008, eigendom)",Volle eigendom,,Aan drukke weg en in woonwijk,Balkon aanwezig,"Betaald parkeren, openbaar parkeren en parkeervergunningen",,,,
Pesetalaan 33,1060 SC Amsterdam,,,111 m²,B,,1998,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,"Ligbad, douche en toilet",3 woonlagen,,Cv-ketel,Cv-ketel,"Vaillant (2012, eigendom)",Gemeentelijk eigendom belast met erfpacht,Afgekocht tot 31-12-2046,"Aan rustige weg, in woonwijk en vrij uitzicht",Dakterras aanwezig en frans balkon aanwezig,Openbaar parkeren,Achtertuin,,,
Lekstraat 108 H,1079 EW Amsterdam,,,128 m²,D,Benedenwoning,1932,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Ligbad en toilet,1 woonlaag,Gedeeltelijk dubbel glas en voorzetramen,Cv-ketel en gedeeltelijke vloerverwarming,Cv-ketel,"Bosch (2017, eigendom)",Gemeentelijk eigendom belast met erfpacht (einddatum erfpacht: 30-06-2050),"€ 1.758,17 per jaar met optie tot afkopen",Beschutte ligging en in woonwijk,,Openbaar parkeren en parkeervergunningen,Achtertuin,,,
Jacob van Lennepkade 153 1,1054 ZL Amsterdam,,,58 m²,E,Bovenwoning (appartement),1899,2 kamers (1 slaapkamer),1 badkamer en 1 apart toilet,,1 woonlaag,Gedeeltelijk dubbel glas,Cv-ketel,Cv-ketel,"ATAG (gas gestookt combiketel uit 2022, eigendom)",Volle eigendom,,"Aan rustige weg, aan water en vrij uitzicht",Balkon aanwezig,"Betaald parkeren, openbaar parkeren en parkeervergunningen",,,,
Willem van Konijnenburgstraat 3 A,1062 DM Amsterdam,,,126 m²,A,Bovenwoning (appartement),2019,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Toilet,1 woonlaag,Dakisolatie en volledig geïsoleerd,Stadsverwarming en gehele vloerverwarming,Stadsverwarming,,Gemeentelijke erfpacht,€ 1.433 per jaar,Aan rustige weg en in woonwijk,,Openbaar parkeren en parkeergarage,,,,
Van Boetzelaerstraat 28 3,1051 CW Amsterdam,,,59 m²,B,Bovenwoning (appartement),Voor 1906,2 kamers (1 slaapkamer),1 badkamer,Douche en toilet,2 woonlagen,,Cv-ketel,Cv-ketel,HR (gas gestookt uit 2010),Erfpacht (einddatum erfpacht: 30-06-2059),,Aan rustige weg en in woonwijk,Balkon aanwezig,Openbaar parkeren en parkeervergunningen,,,,
Bella Vistastraat 222,1096 GM Amsterdam,,,70 m²,A,Bovenwoning (appartement),2019,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,"Dakisolatie, driedubbel glas, muurisolatie en vloerisolatie",Gehele vloerverwarming en warmte terugwininstallatie,Centrale voorziening,,Gemeentelijk eigendom belast met erfpacht (einddatum erfpacht: 30-11-2067),€ 3.136 per jaar met optie tot afkopen,"Aan park, aan vaarwater en in woonwijk",Balkon aanwezig,Betaald parkeren,,,,
Cabralstraat 2 G,1057 CG Amsterdam,,,71 m²,A,Bovenwoning (appartement),1995,3 kamers (2 slaapkamers),1 badkamer,Douche,1 woonlaag,Dubbel glas en volledig geïsoleerd,Cv-ketel,Cv-ketel,"INTERGAS Kombi Kompakt HRE 24/18A (gas gestookt combiketel uit 2018, eigendom)",Gemeentelijke erfpacht,Eeuwigdurend afgekocht,Aan rustige weg en in woonwijk,Balkon aanwezig,Betaald parkeren en parkeervergunningen,,,,
Schimmelstraat 36 2,1053 TH Amsterdam,,,40 m²,C,Bovenwoning (appartement),1912,2 kamers (1 slaapkamer),1 badkamer,Douche en toilet,2 woonlagen,"Dakisolatie, dubbel glas, muurisolatie en vloerisolatie",Cv-ketel,Cv-ketel,"Intergas HRE 24/18A (gas gestookt combiketel uit 2021, eigendom)",Gemeentelijk eigendom belast met erfpacht,Afgekocht tot 16-05-2072,Aan rustige weg en in woonwijk,Balkon aanwezig,Betaald parkeren en parkeervergunningen,,,,
Sportstraat 33 3,1076 TR Amsterdam,,,83 m²,D,Bovenwoning (appartement),1930,3 kamers (2 slaapkamers),1 badkamer,Douche en toilet,3 woonlagen,Dubbel glas,Cv-ketel,Cv-ketel,"Intergas (gas gestookt uit 2017, eigendom)",Gemeentelijk eigendom belast met erfpacht (einddatum erfpacht: 31-05-2063),Afgekocht tot 31-05-2063,Aan rustige weg en in woonwijk,Balkon aanwezig,"Betaald parkeren, openbaar parkeren en parkeervergunningen",,,,
Blankenstraat 97 A,1018 RS Amsterdam,,,43 m²,D,Benedenwoning (appartement),1906,2 kamers (1 slaapkamer),1 badkamer,Douche en toilet,2 woonlagen,Dubbel glas,Cv-ketel,Cv-ketel,"Intergas (gas gestookt combiketel uit 2010, eigendom)",Gemeentelijke erfpacht (einddatum erfpacht: 12-03-2061),Afgekocht tot 12-03-2061,"Aan rustige weg, in centrum en in woonwijk",,Betaald parkeren en parkeervergunningen,Achtertuin,,,
Kinkerstraat 51 2,1053 DE Amsterdam,,,31 m²,F,Bovenwoning (appartement),1886,1 kamer (1 slaapkamer),1 badkamer,Douche en toilet,1 woonlaag,Dubbel glas,Cv-ketel,Cv-ketel,"Intergas Kombi Kompakt HR 22 (gas gestookt combiketel uit 2004, eigendom)",Volle eigendom,,In centrum,,"Betaald parkeren, openbaar parkeren en parkeervergunningen",,,,
Wessel Ilckenstraat 7,1066 GX Amsterdam,,,106 m²,B,,1991,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Toilet,2 woonlagen,Dubbel glas,Cv-ketel,Cv-ketel,"Vaillant (gas gestookt combiketel uit 2013, eigendom)",Gemeentelijk eigendom belast met erfpacht (einddatum erfpacht: 15-05-2040),Afgekocht tot 15-05-2040,Aan rustige weg en in woonwijk,,Op eigen terrein en openbaar parkeren,Achtertuin en voortuin,,,
Westerdok 846 + PP,1013 BV Amsterdam,,,213 m²,A,Penthouse (appartement),2009,4 kamers (3 slaapkamers),2 badkamers en 2 aparte toiletten,"Ligbad, douche en 2 toiletten",2 woonlagen,"Dubbel glas, muurisolatie en vloerisolatie",Blokverwarming en gehele vloerverwarming,,,Gemeentelijk eigendom belast met erfpacht (einddatum erfpacht: 31-03-2056),,"Aan water, in centrum, in woonwijk, open ligging en vrij uitzicht",Balkon aanwezig,,,,,
Van Heemskerckstraat 19 -III,1013 NV Amsterdam,,,88 m²,B,Bovenwoning (appartement),,3 kamers (2 slaapkamers),1 badkamer,Douche en toilet,2 woonlagen,Dubbel glas,Cv-ketel,Cv-ketel,"Gas gestookt combiketel, eigendom",Volle eigendom,,Aan rustige weg en in woonwijk,,Betaald parkeren en parkeervergunningen,,,,
Jacob van Wassenaar Obdamstraat 13 -G,1057 JP Amsterdam,,,85 m²,C,Bovenwoning (appartement),1926,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,,1 woonlaag,Volledig geïsoleerd,Cv-ketel,Cv-ketel,"Remeha WHB Avanta 28C (gas gestookt combiketel uit 2013, eigendom)",Volle eigendom,,Aan rustige weg en in woonwijk,Balkon aanwezig,Betaald parkeren en parkeervergunningen,,,,
Johannes Verhulststraat 200 BV,1075 HE Amsterdam,,,161 m²,C,Bovenwoning (dubbel bovenhuis),1910,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,"Ligbad, douche en toilet",2 woonlagen,Gedeeltelijk dubbel glas,Cv-ketel,Cv-ketel,"HR combi (gas gestookt combiketel uit 2010, eigendom)",Volle eigendom,,Aan rustige weg en in woonwijk,Balkon aanwezig en frans balkon aanwezig,Betaald parkeren en parkeervergunningen,Zonneterras,,,
Nicolaas Witsenkade 43 B,1017 ZV Amsterdam,,,121 m²,,Bovenwoning (appartement),1870,4 kamers (3 slaapkamers),1 badkamer,"Ligbad, douche en toilet",3 woonlagen,Dubbel glas en vloerisolatie,Cv-ketel,Cv-ketel,"Intergas Kompakt HR (gas gestookt combiketel, eigendom)",Volle eigendom,,"Aan rustige weg, aan vaarwater, aan water, in centrum en vrij uitzicht",Balkon aanwezig,Parkeervergunningen,,,,
Louis Davidsstraat 65,1068 SJ Amsterdam,,,61 m²,C,Portiekflat (appartement),1985,2 kamers (1 slaapkamer),,,1 woonlaag,Dubbel glas,Cv-ketel,Cv-ketel,"Intergas (gas gestookt combiketel, eigendom)",Gemeentelijk eigendom belast met erfpacht,Eeuwigdurend afgekocht,In woonwijk en vrij uitzicht,,Openbaar parkeren,,,,
Sandwijk 13,1035 LA Amsterdam,,,94 m²,B,Bovenwoning (appartement),1994,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche en toilet,2 woonlagen,HR-glas,Cv-ketel,Cv-ketel,"Remeha Avanta 28C (gas gestookt combiketel uit 2009, eigendom)",Volle eigendom,,,,,,,,
Sem Presserhof 51,1087 JE Amsterdam,,,85 m²,A,Maisonnette (appartement),2006,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Ligbad en douche,2 woonlagen,Volledig geïsoleerd,Stadsverwarming,Stadsverwarming,,Gemeentelijk eigendom belast met erfpacht,Eeuwigdurend afgekocht,Aan rustige weg en in woonwijk,Dakterras aanwezig,Openbaar parkeren en parkeervergunningen,Achtertuin,,,
Herculesstraat 54 c,1076 SP Amsterdam,,,53 m²,C,Portiekflat (appartement),1931,2 kamers (1 slaapkamer),1 badkamer en 1 apart toilet,Ligbad,3 woonlagen,Dakisolatie,Gehele vloerverwarming,Elektrische boiler,,Volle eigendom,,Aan rustige weg en in woonwijk,,Betaald parkeren en parkeervergunningen,,,,
Waalstraat 138 H,1079 ED Amsterdam,,,45 m²,E,Benedenwoning (appartement),1938,3 kamers (1 slaapkamer),1 badkamer en 1 apart toilet,Douche,1 woonlaag,Dubbel glas en vloerisolatie,Cv-ketel,Cv-ketel,"Intergas (gas gestookt combiketel uit 2008, eigendom)",Gemeentelijke erfpacht,Afgekocht tot 31-07-2063,In woonwijk,,"Betaald parkeren, openbaar parkeren en parkeervergunningen",Achtertuin,,,
Soendastraat 14 H,1094 BG Amsterdam,,,45 m²,,Benedenwoning (appartement),1913,2 kamers (1 slaapkamer),,,1 woonlaag,Dubbel glas,Cv-ketel,Cv-ketel,"Gas gestookt combiketel, eigendom",Gemeentelijke erfpacht (einddatum erfpacht: 30-09-2056),Afgekocht tot 30-09-2056,Aan rustige weg en in woonwijk,,Betaald parkeren en parkeervergunningen,Achtertuin,,,
Noordhollandstraat 76,1081 AV Amsterdam,,,165 m²,B,,1961,8 kamers (6 slaapkamers),2 badkamers en 1 apart toilet,"Ligbad, 2 douches en 2 toiletten",3 woonlagen,Dakisolatie,Cv-ketel,Cv-ketel,"Remeha (gas gestookt combiketel uit 2016, eigendom)",Gemeentelijk eigendom belast met erfpacht,"€ 154,28 per jaar",Aan rustige weg en in woonwijk,Balkon aanwezig,Betaald parkeren en parkeervergunningen,Achtertuin en voortuin,,,
Oostenburgervoorstraat 33,1018 MN Amsterdam,,,242 m²,A,,,7 kamers (5 slaapkamers),2 badkamers en 1 apart toilet,"Ligbad, 2 douches en toilet",4 woonlagen en een kelder,Volledig geïsoleerd,Gehele vloerverwarming en warmtepomp,Aardwarmte en elektrische boiler,,Volle eigendom,,"Aan rustige weg, aan vaarwater, aan water, in centrum en in woonwijk",Dakterras aanwezig en frans balkon aanwezig,Parkeergarage,Zonneterras,,,
Daan Roodenburghplein 44,1025 MP Amsterdam,,,122 m²,B,,1997,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,"Ligbad, douche en toilet",3 woonlagen,Volledig geïsoleerd,Cv-ketel,Cv-ketel,"Intergas (gas gestookt combiketel uit 2018, eigendom)",Gemeentelijk eigendom belast met erfpacht,Eeuwigdurend afgekocht,"In woonwijk, open ligging en vrij uitzicht",Dakterras aanwezig,Betaald parkeren en parkeervergunningen,Achtertuin,,,
Amstelbeststraat 2 E,1096 GD Amsterdam,,,83 m²,A,Bovenwoning (appartement),2016,4 kamers (3 slaapkamers),1 badkamer,"Ligbad, douche en toilet",1 woonlaag,Dubbel glas en volledig geïsoleerd,"Gehele vloerverwarming, warmte terugwininstallatie en warmtepomp",Elektrische boiler,,Gemeentelijke erfpacht (einddatum erfpacht: 01-09-2064),"€ 1.797,17 per jaar","Aan park, aan rustige weg, aan water en in woonwijk",Balkon aanwezig,,,,,
Nassaukade 100 -II,1052 CX Amsterdam,,,66 m²,D,Bovenwoning (appartement),1885,2 kamers (1 slaapkamer),1 badkamer en 1 apart toilet,Ligbad,1 woonlaag,Dubbel glas,Cv-ketel,Cv-ketel,"Remeha (gas gestookt uit 2021, eigendom)",Volle eigendom,,"Aan drukke weg, aan water, in woonwijk en vrij uitzicht",Balkon aanwezig,"Betaald parkeren, openbaar parkeren en parkeervergunningen",,,,
Transvaalstraat 36 D,1092 HL Amsterdam,,,93 m²,C,Bovenwoning,1999,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Ligbad,1 woonlaag,,Cv-ketel,Cv-ketel,"Remeha (gas gestookt combiketel uit 2017, eigendom)",Gemeentelijke erfpacht,Afgekocht tot 15-10-2048,Aan rustige weg en in woonwijk,Balkon aanwezig,Betaald parkeren en parkeervergunningen,,,,
Dusartstraat 27 2,1072 HM Amsterdam,,,45 m²,A,Bovenwoning (appartement),1899,2 kamers (1 slaapkamer),1 badkamer en 1 apart toilet,Douche,4 woonlagen,,Cv-ketel,Cv-ketel,"Combiketel uit 2018, eigendom",Volle eigendom,,"Aan rustige weg, in centrum en in woonwijk",Balkon aanwezig en frans balkon aanwezig,Openbaar parkeren en parkeervergunningen,,,,
Spaarndammerstraat 127 2,1013 TE Amsterdam,,,50 m²,E,Tussenverdieping (appartement),1884,3 kamers (1 slaapkamer),1 badkamer en 1 apart toilet,,1 woonlaag,Gedeeltelijk dubbel glas,Cv-ketel,Cv-ketel,"Intergas (gas gestookt uit 2021, eigendom)",Volle eigendom,,In woonwijk en vrij uitzicht,Balkon aanwezig,Betaald parkeren en parkeervergunningen,,,,
Hoogte Kadijk 55 -D,1018 BE Amsterdam,,,58 m²,D,Portiekflat,1989,2 kamers (1 slaapkamer),,,1 woonlaag,,,,,,,,,,,,,
Oudezijds Achterburgwal 149 HV,1012 DG Amsterdam,,,108 m²,,Dubbel benedenhuis (bel-etage),1737,5 kamers (3 slaapkamers),3 badkamers,Ligbad en 3 toiletten,3 woonlagen,,Cv-ketel,Cv-ketel,"Bosch (gas gestookt combiketel uit 2010, eigendom)",Volle eigendom,,"Aan vaarwater, aan water en in centrum",Dakterras aanwezig,"Betaald parkeren, openbaar parkeren en parkeervergunningen",Patio/atrium,,,
Mercatorstraat 35 3,1056 PX Amsterdam,,,49 m²,D,Bovenwoning (appartement),1927,2 kamers (1 slaapkamer),1 badkamer,Toilet,1 woonlaag,Dubbel glas,Cv-ketel,Cv-ketel,"Gas gestookt combiketel, eigendom",Gemeentelijk eigendom belast met erfpacht,Afgekocht tot 31-08-2054,,Balkon aanwezig,Betaald parkeren en parkeervergunningen,,,,
P. Hans Frankfurthersingel 214,1060 TP Amsterdam,,,186 m²,,,2003,8 kamers (5 slaapkamers),1 badkamer en 2 aparte toiletten,Douche en toilet,"3 woonlagen, een vliering en een kelder","Dakisolatie, dubbel glas, HR-glas, muurisolatie, vloerisolatie en volledig geïsoleerd",Cv-ketel,,Eigendom,Gemeentelijk eigendom belast met erfpacht,"€ 1.507,36 per jaar",Aan water en vrij uitzicht,Balkon aanwezig,,Achtertuin,,,
Kleine Wittenburgerstraat 48,1018 LX Amsterdam,,,87 m²,C,Bovenwoning (appartement),1988,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,Dubbel glas,Cv-ketel,Cv-ketel,"Gas gestookt combiketel, eigendom",Gemeentelijk eigendom belast met erfpacht,Afgekocht tot 31-03-2039,"In centrum, in woonwijk en vrij uitzicht",Dakterras aanwezig en balkon aanwezig,Betaald parkeren en openbaar parkeren,,,,
Eastonstraat 18,1068 HZ Amsterdam,,,77 m²,D,Bovenwoning (appartement),1962,4 kamers (3 slaapkamers),1 apart toilet,,1 woonlaag,Dubbel glas,Blokverwarming,Centrale voorziening,,Erfpacht (einddatum erfpacht: 15-10-2035),€ 90 per jaar,In woonwijk en vrij uitzicht,,Openbaar parkeren en parkeervergunningen,Zonneterras,,,
H.J.M. Walenkampstraat 74,1019 EC Amsterdam,,,90 m²,B,Bovenwoning (appartement),1988,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,Dubbel glas,Cv-ketel,Cv-ketel,"Intergas (gas gestookt combiketel, eigendom)",Gemeentelijke erfpacht,Afgekocht tot 30-04-2051,In woonwijk,Balkon aanwezig,Betaald parkeren en parkeervergunningen,,,,
H.J. Algrastraat 33,1067 WK Amsterdam,,,107 m²,A,,1990,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Toilet,3 woonlagen,Dubbel glas,Cv-ketel en gedeeltelijke vloerverwarming,Cv-ketel,"VHR (gas gestookt uit 2013, eigendom)",Volle eigendom,,Aan rustige weg en in woonwijk,,Op eigen terrein,Achtertuin en voortuin,,,
Orteliusstraat 320 -1,1056 PR Amsterdam,,,54 m²,C,Bovenwoning (appartement),1932,2 kamers (1 slaapkamer),1 badkamer,Douche en toilet,1 woonlaag,Dubbel glas,Cv-ketel,Cv-ketel,"Intergas (gas gestookt combiketel uit 2003, eigendom)",Volle eigendom,,Aan rustige weg en in woonwijk,Dakterras aanwezig,"Betaald parkeren, openbaar parkeren en parkeervergunningen",,,,
Jacob Obrechtstraat 14 II,1071 KL Amsterdam,,,77 m²,B,Bovenwoning (appartement),1898,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Ligbad en douche,1 woonlaag,Dubbel glas,Cv-ketel,Cv-ketel,"Remeha Terzza (gas gestookt combiketel uit 2020, eigendom)",Volle eigendom,,In woonwijk,Balkon aanwezig,Betaald parkeren en parkeervergunningen,,,,
Alfred Döblinstraat 141,1102 VK Amsterdam,,,53 m²,B,Bovenwoning,1984,2 kamers (1 slaapkamer),1 badkamer,Douche en toilet,1 woonlaag,,Cv-ketel,Cv-ketel,"Gas gestookt uit 2016, eigendom",Gemeentelijk eigendom belast met erfpacht (einddatum erfpacht: 31-01-2035),Afgekocht tot 31-01-2035,,Balkon aanwezig,Betaald parkeren en parkeervergunningen,,,,
President Kennedylaan 92 H,1079 NH Amsterdam,,,65 m²,C,Benedenwoning (appartement),1934,2 kamers (1 slaapkamer),1 badkamer,Toilet,4 woonlagen,Dubbel glas,Cv-ketel,Cv-ketel,"Intergas (gas gestookt combiketel uit 2018, eigendom)",Gemeentelijke erfpacht (einddatum erfpacht: 15-02-2059),"€ 910,93 per jaar",Aan rustige weg,,"Betaald parkeren, openbaar parkeren en parkeervergunningen",Achtertuin,,,
Tweede Ceramstraat 16,1095 BN Amsterdam,,,80 m²,C,Portiekflat,1987,3 kamers (2 slaapkamers),,,1 woonlaag,,,,,,,,,,,,,
Haarlemmerweg 555 III,1055 PN Amsterdam,,,74 m²,E,Bovenwoning (appartement),1936,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,,2 woonlagen,Dubbel glas,Cv-ketel,Cv-ketel,"Gas gestookt combiketel, eigendom",Gemeentelijk eigendom belast met erfpacht (einddatum erfpacht: 31-07-2063),Afgekocht tot 31-07-2063,Aan drukke weg en in woonwijk,Dakterras aanwezig en balkon aanwezig,Betaald parkeren en parkeervergunningen,,,,
Eerste Jan Steenstraat 75 A,1072 ND Amsterdam,,,42 m²,D,Bovenwoning (appartement),1965,2 kamers (1 slaapkamer),1 badkamer en 1 apart toilet,Douche,1 woonlaag,Gedeeltelijk dubbel glas,Blokverwarming,,,Volle eigendom,,Aan rustige weg en in woonwijk,Balkon aanwezig,Betaald parkeren en parkeervergunningen,,,,
Omval 29,1096 AA Amsterdam,,,97 m²,A,Portiekflat (appartement),1997,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,,1 woonlaag,,Stadsverwarming,Stadsverwarming,,Volle eigendom,,"Aan vaarwater, aan water, in woonwijk en vrij uitzicht",Balkon aanwezig,Parkeergarage,,,,
