address,postal_code,offered_since,asking-price,surface,energy_label,housing_type,build_year,number_rooms,number_bathrooms,bathroom_facilities,total_floors,isolation,heating,warm_water,cv_ketel,land_ownership,erfpacht,location,balcony_terrace,parking,garden,inhabitants_neighborhood,families_with_kids_perc,neighborhood_price_sqm
Ben van Meerendonkstraat 231,1087 LN Amsterdam,,,109 m²,,,2010,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,Toilet,3 woonlagen,Volledig geïsoleerd,Stadsverwarming en gedeeltelijke vloerverwarming,Stadsverwarming,,Gemeentelijke erfpacht (einddatum erfpacht: 15-08-2058),Eeuwigdurend afgekocht,Aan rustige weg en in woonwijk,Frans balkon aanwezig,Parkeergarage,Achtertuin en voortuin,,,
Bijlmerdreef 997,1103 TW Amsterdam,,,134 m²,A,Portiekflat (appartement),2005,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Ligbad,1 woonlaag,Volledig geïsoleerd,Stadsverwarming,Stadsverwarming,,Gemeentelijk eigendom belast met erfpacht,Eeuwigdurend afgekocht,In woonwijk en vrij uitzicht,Balkon aanwezig,"Betaald parkeren, openbaar parkeren en parkeervergunningen",,,,
Saffierstraat 208,1074 GZ Amsterdam,,,43 m²,D,Bovenwoning (appartement),1925,2 kamers (1 slaapkamer),,,1 woonlaag,Dubbel glas,Cv-ketel,Cv-ketel,"Gas gestookt combiketel, eigendom",Gemeentelijk eigendom belast met erfpacht,Afgekocht tot 15-02-2064,Aan rustige weg en in woonwijk,Balkon aanwezig,Betaald parkeren en parkeervergunningen,,,,
Biesboschstraat 70 H,1078 MZ Amsterdam,,,76 m²,D,Benedenwoning (appartement),1929,3 kamers (2 slaapkamers),1 badkamer,"Ligbad, douche en toilet",1 woonlaag,,Cv-ketel,Cv-ketel,Remeha Avanta (2009),Gemeentelijke erfpacht (einddatum erfpacht: 30-06-2052),€ 910 per jaar,Aan rustige weg en in woonwijk,,Betaald parkeren en parkeervergunningen,Achtertuin,,,
Molukkenstraat 63 I,1095 AW Amsterdam,,,49 m²,D,Bovenwoning (appartement),,2 kamers (1 slaapkamer),1 badkamer,Douche,1 woonlaag,Dubbel glas,Cv-ketel,Cv-ketel,"Intergas (gas gestookt combiketel uit 2010, eigendom)",Volle eigendom,,Aan drukke weg en in woonwijk,Balkon aanwezig,"Betaald parkeren, openbaar parkeren en parkeervergunningen",,,,
Grote Bickersstraat 257,1013 KP Amsterdam,,,54 m²,D,Bovenwoning (appartement),,3 kamers (2 slaapkamers),1 badkamer,Douche en toilet,1 woonlaag,Dubbel glas,Cv-ketel,Cv-ketel,"Gas gestookt uit 2010, eigendom",Gemeentelijke erfpacht (einddatum erfpacht: 30-04-2064),Afgekocht tot 30-04-2064,Aan rustige weg en vrij uitzicht,Dakterras aanwezig,"Betaald parkeren, openbaar parkeren en parkeervergunningen",,,,
Jacques Veltmanstraat 44 2,1065 EK Amsterdam,,,47 m²,D,Bovenwoning (appartement),1956,2 kamers (1 slaapkamer),1 badkamer en 1 apart toilet,Douche,1 woonlaag,Dubbel glas,Cv-ketel,Cv-ketel,"Intergas HRE (gas gestookt combiketel uit 2021, eigendom)",Gemeentelijk eigendom belast met erfpacht,Afgekocht tot 01-12-2054,Aan rustige weg en in woonwijk,Balkon aanwezig,"Betaald parkeren, openbaar parkeren en parkeervergunningen",,,,
Barentszstraat 293,1013 NN Amsterdam,,,52 m²,E,Bovenwoning (appartement),1880,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Ligbad,1 woonlaag,HR-glas en volledig geïsoleerd,Cv-ketel,Cv-ketel,"Bosch VRC (gas gestookt combiketel uit 2007, eigendom)",Volle eigendom,,Aan rustige weg en in woonwijk,Balkon aanwezig,"Betaald parkeren, openbaar parkeren en parkeervergunningen",,,,
Thorn Prikkerstraat 121,1062 BS Amsterdam,,,107 m²,A,Bovenwoning (appartement),2017,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Ligbad,1 woonlaag,Volledig geïsoleerd,"Stadsverwarming, gehele vloerverwarming en warmte terugwininstallatie",Stadsverwarming,,Gemeentelijk eigendom belast met erfpacht,Afgekocht tot 01-02-2066,In woonwijk en vrij uitzicht,Balkon aanwezig,Betaald parkeren,,,,
Van Leijenberghlaan 8 F,1082 GM Amsterdam,,,117 m²,A,Bovenwoning (appartement),2004,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Ligbad en douche,1 woonlaag,Volledig geïsoleerd,Cv-ketel,Cv-ketel,"AWB (gas gestookt combiketel uit 2002, eigendom)",Gemeentelijk eigendom belast met erfpacht (einddatum erfpacht: 01-02-2053),€ 3.572 per jaar met optie tot afkopen,Vrij uitzicht,,Parkeergarage,,,,
Sandwijk 24,1035 LB Amsterdam,,,111 m²,B,,1993,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Douche en toilet,3 woonlagen,"Dakisolatie, dubbel glas, muurisolatie, vloerisolatie en volledig geïsoleerd",Cv-ketel,Cv-ketel,"Gas gestookt uit 2015, eigendom",,,Aan rustige weg en in woonwijk,Dakterras aanwezig,Openbaar parkeren,Achtertuin,,,
Jozef Israëlskade 51 -3,1073 PW Amsterdam,,,67 m²,D,Portiekflat,1922,3 kamers (2 slaapkamers),,,1 woonlaag,,,,,,,,,,,,,
J.C. van Epenstraat 2,1019 GS Amsterdam,,,59 m²,B,Benedenwoning (appartement),1988,2 kamers (1 slaapkamer),1 badkamer,Douche en toilet,1 woonlaag,,,,,Gemeentelijke erfpacht,Afgekocht tot 15-10-2039,,Balkon aanwezig,"Betaald parkeren, openbaar parkeren en parkeervergunningen",,,,
Weesperzijde 133 1,1091 ES Amsterdam,,,57 m²,,Bovenwoning (appartement),,2 kamers (1 slaapkamer),1 badkamer,Douche,1 woonlaag,,Cv-ketel,Cv-ketel,"Combiketel ( combiketel, eigendom)",Volle eigendom,,"Aan rustige weg, aan vaarwater, aan water, in woonwijk, open ligging en vrij uitzicht",,Parkeervergunningen,,,,
Paramaribostraat 63 1,1058 VH Amsterdam,,,107 m²,E,Bovenwoning (dubbel bovenhuis),1930,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Ligbad,2 woonlagen,,Cv-ketel,Cv-ketel,"Gas gestookt, eigendom",Volle eigendom,,Aan rustige weg en in woonwijk,Balkon aanwezig,Betaald parkeren en parkeervergunningen,,,,
Eerste Oosterparkstraat 39 -2,1091 GV Amsterdam,,,45 m²,D,Tussenverdieping (appartement),1939,2 kamers (1 slaapkamer),1 badkamer,Toilet,1 woonlaag,Gedeeltelijk dubbel glas,Cv-ketel,Cv-ketel,"Intergas (gas gestookt combiketel uit 2016, eigendom)",Volle eigendom,,In woonwijk,Balkon aanwezig,Betaald parkeren,,,,
Minahassastraat 12 A,1094 RX Amsterdam,,,67 m²,B,Bovenwoning (appartement),1981,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,,Cv-ketel,Cv-ketel,"Intergas Kombi Kompakt HRE (gas gestookt combiketel uit 2008, eigendom)",Gemeentelijk eigendom belast met erfpacht,Eeuwigdurend afgekocht,,Balkon aanwezig,Betaald parkeren en parkeervergunningen,,,,
Jan Bernardusstraat 20 1L,1091 TT Amsterdam,,,29 m²,B,Tussenverdieping,1906,2 kamers (1 slaapkamer),1 badkamer,Douche en toilet,1 woonlaag,Dubbel glas,Cv-ketel,Cv-ketel,"Intergas HR Combiketel (gas gestookt combiketel uit 2010, eigendom)",Volle eigendom,,Aan rustige weg en in woonwijk,Balkon aanwezig,Openbaar parkeren,,,,
Hillegomstraat 9 - II,1058 LN Amsterdam,,,88 m²,F,Bovenwoning (appartement),1932,4 kamers (3 slaapkamers),1 badkamer,Douche en toilet,2 woonlagen,Gedeeltelijk dubbel glas,Cv-ketel,Cv-ketel,"Intergas (gas gestookt combiketel uit 2021, eigendom)",Volle eigendom,,Aan rustige weg en in woonwijk,Balkon aanwezig,Betaald parkeren en parkeervergunningen,,,,
Distelweg 309 + PP,1031 HD Amsterdam,,,87 m²,A+,Penthouse (appartement),2020,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche en toilet,1 woonlaag,Volledig geïsoleerd,Stadsverwarming,Stadsverwarming,,Gemeentelijk eigendom belast met erfpacht (einddatum erfpacht: 15-04-2069),Afgekocht tot 15-04-2069,"Aan rustige weg, in woonwijk en vrij uitzicht",Balkon aanwezig,Betaald parkeren en parkeergarage,,,,
Van Walbeeckstraat 82 3,1058 CX Amsterdam,,,91 m²,C,Bovenwoning (appartement),1935,4 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Ligbad en douche,2 woonlagen,Gedeeltelijk dubbel glas,Cv-ketel,Cv-ketel,"Remeha Avanta ( combiketel uit 2007, eigendom)",Volle eigendom,,Aan rustige weg,Balkon aanwezig,Betaald parkeren en openbaar parkeren,Zonneterras,,,
